county_name	fips	party
Autauga County, Alabama	01001	0.0
Baldwin County, Alabama	01003	0.0
Barbour County, Alabama	01005	1.0
Bibb County, Alabama	01007	0.0
Blount County, Alabama	01009	0.0
Bullock County, Alabama	01011	1.0
Butler County, Alabama	01013	0.0
Calhoun County, Alabama	01015	0.0
Chambers County, Alabama	01017	0.0
Cherokee County, Alabama	01019	0.0
Chilton County, Alabama	01021	0.0
Choctaw County, Alabama	01023	0.0
Clarke County, Alabama	01025	0.0
Clay County, Alabama	01027	0.0
Cleburne County, Alabama	01029	0.0
Coffee County, Alabama	01031	0.0
Colbert County, Alabama	01033	0.0
Conecuh County, Alabama	01035	1.0
Coosa County, Alabama	01037	0.0
Covington County, Alabama	01039	0.0
Crenshaw County, Alabama	01041	0.0
Cullman County, Alabama	01043	0.0
Dale County, Alabama	01045	0.0
Dallas County, Alabama	01047	1.0
DeKalb County, Alabama	01049	0.0
Elmore County, Alabama	01051	0.0
Escambia County, Alabama	01053	0.0
Etowah County, Alabama	01055	0.0
Fayette County, Alabama	01057	0.0
Franklin County, Alabama	01059	0.0
Geneva County, Alabama	01061	0.0
Greene County, Alabama	01063	1.0
Hale County, Alabama	01065	1.0
Henry County, Alabama	01067	0.0
Houston County, Alabama	01069	0.0
Jackson County, Alabama	01071	0.0
Jefferson County, Alabama	01073	1.0
Lamar County, Alabama	01075	0.0
Lauderdale County, Alabama	01077	0.0
Lawrence County, Alabama	01079	0.0
Lee County, Alabama	01081	0.0
Limestone County, Alabama	01083	0.0
Lowndes County, Alabama	01085	1.0
Macon County, Alabama	01087	1.0
Madison County, Alabama	01089	0.0
Marengo County, Alabama	01091	1.0
Marion County, Alabama	01093	0.0
Marshall County, Alabama	01095	0.0
Mobile County, Alabama	01097	0.0
Monroe County, Alabama	01099	0.0
Montgomery County, Alabama	01101	1.0
Morgan County, Alabama	01103	0.0
Perry County, Alabama	01105	1.0
Pickens County, Alabama	01107	0.0
Pike County, Alabama	01109	0.0
Randolph County, Alabama	01111	0.0
Russell County, Alabama	01113	1.0
St. Clair County, Alabama	01115	0.0
Shelby County, Alabama	01117	0.0
Sumter County, Alabama	01119	1.0
Talladega County, Alabama	01121	0.0
Tallapoosa County, Alabama	01123	0.0
Tuscaloosa County, Alabama	01125	0.0
Walker County, Alabama	01127	0.0
Washington County, Alabama	01129	0.0
Wilcox County, Alabama	01131	1.0
Winston County, Alabama	01133	0.0
Apache County, Arizona	04001	1.0
Cochise County, Arizona	04003	0.0
Coconino County, Arizona	04005	1.0
Gila County, Arizona	04007	0.0
Graham County, Arizona	04009	0.0
Greenlee County, Arizona	04011	0.0
La Paz County, Arizona	04012	0.0
Maricopa County, Arizona	04013	0.0
Mohave County, Arizona	04015	0.0
Navajo County, Arizona	04017	0.0
Pima County, Arizona	04019	1.0
Pinal County, Arizona	04021	0.0
Santa Cruz County, Arizona	04023	1.0
Yavapai County, Arizona	04025	0.0
Yuma County, Arizona	04027	0.0
Arkansas County, Arkansas	05001	0.0
Ashley County, Arkansas	05003	0.0
Baxter County, Arkansas	05005	0.0
Benton County, Arkansas	05007	0.0
Boone County, Arkansas	05009	0.0
Bradley County, Arkansas	05011	0.0
Calhoun County, Arkansas	05013	0.0
Carroll County, Arkansas	05015	0.0
Chicot County, Arkansas	05017	1.0
Clark County, Arkansas	05019	0.0
Clay County, Arkansas	05021	0.0
Cleburne County, Arkansas	05023	0.0
Cleveland County, Arkansas	05025	0.0
