county_name	fips	party
Autauga County, Alabama	01001	1.0
Baldwin County, Alabama	01003	1.0
Barbour County, Alabama	01005	1.0
Bibb County, Alabama	01007	0.0
Blount County, Alabama	01009	1.0
Bullock County, Alabama	01011	0.0
Butler County, Alabama	01013	1.0
Calhoun County, Alabama	01015	1.0
Chambers County, Alabama	01017	0.0
Cherokee County, Alabama	01019	1.0
Chilton County, Alabama	01021	1.0
Choctaw County, Alabama	01023	1.0
Clarke County, Alabama	01025	1.0
Clay County, Alabama	01027	0.0
Cleburne County, Alabama	01029	0.0
Coffee County, Alabama	01031	1.0
Colbert County, Alabama	01033	1.0
Conecuh County, Alabama	01035	0.0
Coosa County, Alabama	01037	1.0
Covington County, Alabama	01039	1.0
Crenshaw County, Alabama	01041	0.0
Cullman County, Alabama	01043	0.0
Dale County, Alabama	01045	1.0
Dallas County, Alabama	01047	0.0
DeKalb County, Alabama	01049	1.0
Elmore County, Alabama	01051	0.0
Escambia County, Alabama	01053	0.0
Etowah County, Alabama	01055	1.0
Fayette County, Alabama	01057	0.0
Franklin County, Alabama	01059	1.0
Geneva County, Alabama	01061	1.0
Greene County, Alabama	01063	0.0
Hale County, Alabama	01065	1.0
Henry County, Alabama	01067	1.0
Houston County, Alabama	01069	1.0
Jackson County, Alabama	01071	1.0
Jefferson County, Alabama	01073	1.0
Lamar County, Alabama	01075	1.0
Lauderdale County, Alabama	01077	1.0
Lawrence County, Alabama	01079	0.0
Lee County, Alabama	01081	1.0
Limestone County, Alabama	01083	0.0
Lowndes County, Alabama	01085	0.0
Macon County, Alabama	01087	1.0
Madison County, Alabama	01089	0.0
Marengo County, Alabama	01091	1.0
Marion County, Alabama	01093	1.0
Marshall County, Alabama	01095	1.0
Mobile County, Alabama	01097	0.0
Monroe County, Alabama	01099	1.0
Montgomery County, Alabama	01101	0.0
Morgan County, Alabama	01103	1.0
Perry County, Alabama	01105	0.0
Pickens County, Alabama	01107	1.0
Pike County, Alabama	01109	1.0
Randolph County, Alabama	01111	0.0
Russell County, Alabama	01113	0.0
St. Clair County, Alabama	01115	1.0
Shelby County, Alabama	01117	1.0
Sumter County, Alabama	01119	1.0
Talladega County, Alabama	01121	1.0
Tallapoosa County, Alabama	01123	0.0
Tuscaloosa County, Alabama	01125	1.0
Walker County, Alabama	01127	0.0
Washington County, Alabama	01129	0.0
Wilcox County, Alabama	01131	1.0
Winston County, Alabama	01133	0.0
Apache County, Arizona	04001	1.0
Cochise County, Arizona	04003	0.0
Coconino County, Arizona	04005	0.0
Gila County, Arizona	04007	1.0
Graham County, Arizona	04009	1.0
Greenlee County, Arizona	04011	0.0
La Paz County, Arizona	04012	0.0
Maricopa County, Arizona	04013	1.0
Mohave County, Arizona	04015	0.0
Navajo County, Arizona	04017	1.0
Pima County, Arizona	04019	1.0
Pinal County, Arizona	04021	0.0
Santa Cruz County, Arizona	04023	1.0
Yavapai County, Arizona	04025	1.0
Yuma County, Arizona	04027	1.0
Arkansas County, Arkansas	05001	1.0
Ashley County, Arkansas	05003	0.0
Baxter County, Arkansas	05005	1.0
Benton County, Arkansas	05007	1.0
Boone County, Arkansas	05009	1.0
Bradley County, Arkansas	05011	0.0
Calhoun County, Arkansas	05013	1.0
Carroll County, Arkansas	05015	1.0
Chicot County, Arkansas	05017	1.0
Clark County, Arkansas	05019	1.0
Clay County, Arkansas	05021	0.0
Cleburne County, Arkansas	05023	0.0
Cleveland County, Arkansas	05025	1.0
Columbia County, Arkansas	05027	0.0
Conway County, Arkansas	05029	1.0
Craighead County, Arkansas	05031	0.0
Crawford County, Arkansas	05033	0.0
Crittenden County, Arkansas	05035	0.0
Cross County, Arkansas	05037	1.0
Dallas County, Arkansas	05039	0.0
Desha County, Arkansas	05041	1.0
Drew County, Arkansas	05043	0.0
Faulkner County, Arkansas	05045	1.0
Franklin County, Arkansas	05047	0.0
Fulton County, Arkansas	05049	1.0
Garland County, Arkansas	05051	0.0
Grant County, Arkansas	05053	1.0
Greene County, Arkansas	05055	1.0
Hempstead County, Arkansas	05057	1.0
Hot Spring County, Arkansas	05059	0.0
Howard County, Arkansas	05061	0.0
Independence County, Arkansas	05063	0.0
Izard County, Arkansas	05065	0.0
Jackson County, Arkansas	05067	1.0
Jefferson County, Arkansas	05069	1.0
Johnson County, Arkansas	05071	0.0
Lafayette County, Arkansas	05073	0.0
Lawrence County, Arkansas	05075	0.0
Lee County, Arkansas	05077	0.0
Lincoln County, Arkansas	05079	0.0
Little River County, Arkansas	05081	0.0
Logan County, Arkansas	05083	1.0
Lonoke County, Arkansas	05085	1.0
Madison County, Arkansas	05087	1.0
Marion County, Arkansas	05089	1.0
Miller County, Arkansas	05091	0.0
Mississippi County, Arkansas	05093	1.0
Monroe County, Arkansas	05095	0.0
Montgomery County, Arkansas	05097	0.0
Nevada County, Arkansas	05099	1.0
Newton County, Arkansas	05101	0.0
Ouachita County, Arkansas	05103	0.0
Perry County, Arkansas	05105	1.0
Phillips County, Arkansas	05107	1.0
Pike County, Arkansas	05109	0.0
Poinsett County, Arkansas	05111	0.0
Polk County, Arkansas	05113	0.0
Pope County, Arkansas	05115	1.0
Prairie County, Arkansas	05117	1.0
Pulaski County, Arkansas	05119	1.0
Randolph County, Arkansas	05121	1.0
St. Francis County, Arkansas	05123	1.0
Saline County, Arkansas	05125	1.0
Scott County, Arkansas	05127	1.0
Searcy County, Arkansas	05129	0.0
Sebastian County, Arkansas	05131	1.0
Sevier County, Arkansas	05133	1.0
Sharp County, Arkansas	05135	1.0
Stone County, Arkansas	05137	1.0
Union County, Arkansas	05139	1.0
Van Buren County, Arkansas	05141	1.0
Washington County, Arkansas	05143	1.0
White County, Arkansas	05145	1.0
Woodruff County, Arkansas	05147	0.0
Yell County, Arkansas	05149	1.0
Alameda County, California	06001	1.0
Alpine County, California	06003	1.0
Amador County, California	06005	1.0
Butte County, California	06007	0.0
Calaveras County, California	06009	1.0
Colusa County, California	06011	1.0
Contra Costa County, California	06013	1.0
Del Norte County, California	06015	1.0
El Dorado County, California	06017	1.0
Fresno County, California	06019	0.0
Glenn County, California	06021	0.0
Humboldt County, California	06023	1.0
Imperial County, California	06025	1.0
Inyo County, California	06027	1.0
Kern County, California	06029	0.0
Kings County, California	06031	1.0
Lake County, California	06033	0.0
Lassen County, California	06035	0.0
Los Angeles County, California	06037	0.0
Madera County, California	06039	0.0
Marin County, California	06041	1.0
Mariposa County, California	06043	0.0
Mendocino County, California	06045	0.0
Merced County, California	06047	1.0
Modoc County, California	06049	1.0
Mono County, California	06051	1.0
Monterey County, California	06053	0.0
Napa County, California	06055	1.0
Nevada County, California	06057	0.0
Orange County, California	06059	0.0
Placer County, California	06061	1.0
Plumas County, California	06063	0.0
Riverside County, California	06065	0.0
Sacramento County, California	06067	0.0
San Benito County, California	06069	1.0
San Bernardino County, California	06071	0.0
San Diego County, California	06073	1.0
San Francisco County, California	06075	1.0
San Joaquin County, California	06077	0.0
San Luis Obispo County, California	06079	0.0
San Mateo County, California	06081	0.0
Santa Barbara County, California	06083	1.0
Santa Clara County, California	06085	0.0
Santa Cruz County, California	06087	1.0
Shasta County, California	06089	1.0
Sierra County, California	06091	1.0
Siskiyou County, California	06093	1.0
Solano County, California	06095	0.0
Sonoma County, California	06097	1.0
Stanislaus County, California	06099	1.0
Sutter County, California	06101	0.0
Tehama County, California	06103	0.0
Trinity County, California	06105	1.0
Tulare County, California	06107	0.0
Tuolumne County, California	06109	1.0
Ventura County, California	06111	1.0
Yolo County, California	06113	0.0
Yuba County, California	06115	1.0
Adams County, Colorado	08001	1.0
Alamosa County, Colorado	08003	0.0
Arapahoe County, Colorado	08005	0.0
Archuleta County, Colorado	08007	0.0
Baca County, Colorado	08009	1.0
Bent County, Colorado	08011	1.0
Boulder County, Colorado	08013	0.0
Broomfield County, Colorado	08014	1.0
Chaffee County, Colorado	08015	0.0
Cheyenne County, Colorado	08017	0.0
Clear Creek County, Colorado	08019	1.0
Conejos County, Colorado	08021	1.0
Costilla County, Colorado	08023	0.0
Crowley County, Colorado	08025	0.0
Custer County, Colorado	08027	0.0
Delta County, Colorado	08029	1.0
Denver County, Colorado	08031	1.0
Dolores County, Colorado	08033	0.0
Douglas County, Colorado	08035	1.0
Eagle County, Colorado	08037	1.0
Elbert County, Colorado	08039	0.0
El Paso County, Colorado	08041	1.0
Fremont County, Colorado	08043	0.0
Garfield County, Colorado	08045	0.0
Gilpin County, Colorado	08047	0.0
Grand County, Colorado	08049	0.0
Gunnison County, Colorado	08051	1.0
Hinsdale County, Colorado	08053	1.0
Huerfano County, Colorado	08055	0.0
Jackson County, Colorado	08057	1.0
Jefferson County, Colorado	08059	1.0
Kiowa County, Colorado	08061	0.0
Kit Carson County, Colorado	08063	1.0
Lake County, Colorado	08065	1.0
La Plata County, Colorado	08067	1.0
Larimer County, Colorado	08069	0.0
Las Animas County, Colorado	08071	1.0
Lincoln County, Colorado	08073	0.0
Logan County, Colorado	08075	0.0
Mesa County, Colorado	08077	0.0
Mineral County, Colorado	08079	1.0
Moffat County, Colorado	08081	0.0
Montezuma County, Colorado	08083	0.0
Montrose County, Colorado	08085	0.0
Morgan County, Colorado	08087	1.0
Otero County, Colorado	08089	0.0
Ouray County, Colorado	08091	0.0
Park County, Colorado	08093	1.0
Phillips County, Colorado	08095	0.0
Pitkin County, Colorado	08097	1.0
Prowers County, Colorado	08099	1.0
Pueblo County, Colorado	08101	1.0
Rio Blanco County, Colorado	08103	1.0
Rio Grande County, Colorado	08105	0.0
Routt County, Colorado	08107	0.0
Saguache County, Colorado	08109	0.0
San Juan County, Colorado	08111	0.0
San Miguel County, Colorado	08113	1.0
Sedgwick County, Colorado	08115	1.0
Summit County, Colorado	08117	0.0
Teller County, Colorado	08119	1.0
Washington County, Colorado	08121	1.0
Weld County, Colorado	08123	1.0
Yuma County, Colorado	08125	1.0
Fairfield County, Connecticut	09001	0.0
Hartford County, Connecticut	09003	0.0
Litchfield County, Connecticut	09005	0.0
Middlesex County, Connecticut	09007	0.0
New Haven County, Connecticut	09009	1.0
New London County, Connecticut	09011	1.0
Tolland County, Connecticut	09013	1.0
Windham County, Connecticut	09015	0.0
Kent County, Delaware	10001	0.0
New Castle County, Delaware	10003	0.0
Sussex County, Delaware	10005	1.0
District of Columbia, District of Columbia	11001	1.0
Alachua County, Florida	12001	1.0
Baker County, Florida	12003	0.0
Bay County, Florida	12005	0.0
Bradford County, Florida	12007	0.0
Brevard County, Florida	12009	1.0
Broward County, Florida	12011	1.0
Calhoun County, Florida	12013	0.0
Charlotte County, Florida	12015	1.0
Citrus County, Florida	12017	1.0
Clay County, Florida	12019	0.0
Collier County, Florida	12021	1.0
Columbia County, Florida	12023	1.0
DeSoto County, Florida	12027	1.0
Dixie County, Florida	12029	1.0
Duval County, Florida	12031	0.0
Escambia County, Florida	12033	0.0
Flagler County, Florida	12035	0.0
Franklin County, Florida	12037	0.0
Gadsden County, Florida	12039	0.0
Gilchrist County, Florida	12041	0.0
Glades County, Florida	12043	0.0
Gulf County, Florida	12045	1.0
Hamilton County, Florida	12047	1.0
Hardee County, Florida	12049	0.0
Hendry County, Florida	12051	0.0
Hernando County, Florida	12053	0.0
Highlands County, Florida	12055	1.0
Hillsborough County, Florida	12057	1.0
Holmes County, Florida	12059	1.0
Indian River County, Florida	12061	0.0
Jackson County, Florida	12063	1.0
Jefferson County, Florida	12065	0.0
Lafayette County, Florida	12067	0.0
Lake County, Florida	12069	1.0
Lee County, Florida	12071	0.0
Leon County, Florida	12073	1.0
Levy County, Florida	12075	1.0
Liberty County, Florida	12077	0.0
Madison County, Florida	12079	1.0
Manatee County, Florida	12081	0.0
Marion County, Florida	12083	1.0
Martin County, Florida	12085	0.0
Miami-Dade County, Florida	12086	0.0
Monroe County, Florida	12087	0.0
Nassau County, Florida	12089	1.0
Okaloosa County, Florida	12091	0.0
Okeechobee County, Florida	12093	0.0
Orange County, Florida	12095	0.0
Osceola County, Florida	12097	1.0
Palm Beach County, Florida	12099	0.0
Pasco County, Florida	12101	0.0
Pinellas County, Florida	12103	1.0
Polk County, Florida	12105	0.0
Putnam County, Florida	12107	1.0
St. Johns County, Florida	12109	1.0
St. Lucie County, Florida	12111	0.0
Santa Rosa County, Florida	12113	1.0
Sarasota County, Florida	12115	0.0
Seminole County, Florida	12117	0.0
Sumter County, Florida	12119	0.0
Suwannee County, Florida	12121	0.0
Taylor County, Florida	12123	1.0
Union County, Florida	12125	1.0
Volusia County, Florida	12127	1.0
Wakulla County, Florida	12129	0.0
Walton County, Florida	12131	1.0
Washington County, Florida	12133	1.0
Appling County, Georgia	13001	1.0
Atkinson County, Georgia	13003	0.0
Bacon County, Georgia	13005	0.0
Baker County, Georgia	13007	0.0
Baldwin County, Georgia	13009	0.0
Banks County, Georgia	13011	1.0
Barrow County, Georgia	13013	0.0
Bartow County, Georgia	13015	1.0
Ben Hill County, Georgia	13017	1.0
Berrien County, Georgia	13019	1.0
Bibb County, Georgia	13021	0.0
Bleckley County, Georgia	13023	0.0
Brantley County, Georgia	13025	0.0
Brooks County, Georgia	13027	1.0
Bryan County, Georgia	13029	0.0
Bulloch County, Georgia	13031	0.0
Burke County, Georgia	13033	0.0
Butts County, Georgia	13035	1.0
Calhoun County, Georgia	13037	0.0
Camden County, Georgia	13039	1.0
Candler County, Georgia	13043	0.0
Carroll County, Georgia	13045	1.0
Catoosa County, Georgia	13047	0.0
Charlton County, Georgia	13049	0.0
Chatham County, Georgia	13051	0.0
Chattahoochee County, Georgia	13053	1.0
Chattooga County, Georgia	13055	0.0
Cherokee County, Georgia	13057	1.0
Clarke County, Georgia	13059	0.0
Clay County, Georgia	13061	0.0
Clayton County, Georgia	13063	1.0
Clinch County, Georgia	13065	0.0
Cobb County, Georgia	13067	0.0
Coffee County, Georgia	13069	0.0
Colquitt County, Georgia	13071	1.0
Columbia County, Georgia	13073	0.0
Cook County, Georgia	13075	0.0
Coweta County, Georgia	13077	1.0
Crawford County, Georgia	13079	0.0
Crisp County, Georgia	13081	0.0
Dade County, Georgia	13083	0.0
Dawson County, Georgia	13085	0.0
Decatur County, Georgia	13087	1.0
DeKalb County, Georgia	13089	1.0
Dodge County, Georgia	13091	1.0
Dooly County, Georgia	13093	1.0
Dougherty County, Georgia	13095	0.0
Douglas County, Georgia	13097	1.0
Early County, Georgia	13099	0.0
Echols County, Georgia	13101	1.0
Effingham County, Georgia	13103	1.0
Elbert County, Georgia	13105	1.0
Emanuel County, Georgia	13107	1.0
Evans County, Georgia	13109	0.0
Fannin County, Georgia	13111	0.0
Fayette County, Georgia	13113	0.0
Floyd County, Georgia	13115	1.0
Forsyth County, Georgia	13117	1.0
Franklin County, Georgia	13119	0.0
Fulton County, Georgia	13121	1.0
Gilmer County, Georgia	13123	0.0
Glascock County, Georgia	13125	0.0
Glynn County, Georgia	13127	1.0
Gordon County, Georgia	13129	1.0
Grady County, Georgia	13131	1.0
Greene County, Georgia	13133	0.0
Gwinnett County, Georgia	13135	0.0
Habersham County, Georgia	13137	0.0
