fips,DP04_0001E,DP04_0002E,DP04_0003E,DP04_0005E,DP04_0006E,DP04_0007E,DP04_0008E,DP04_0009E,DP04_0010E,DP04_0011E,DP04_0012E,DP04_0013E,DP04_0014E,DP04_0015E,DP04_0016E,DP04_0017E,DP04_0018E,DP04_0019E,DP04_0020E,DP04_0021E,DP04_0022E,DP04_0023E,DP04_0024E,DP04_0025E,DP04_0026E,DP04_0027E,DP04_0028E,DP04_0029E,DP04_0030E,DP04_0031E,DP04_0032E,DP04_0033E,DP04_0034E,DP04_0035E,DP04_0036E,DP04_0038E,DP04_0039E,DP04_0040E,DP04_0041E,DP04_0042E,DP04_0043E,DP04_0044E,DP04_0045E,DP04_0046E,DP04_0047E,DP04_0049E,DP04_0050E,DP04_0051E,DP04_0052E,DP04_0053E,DP04_0054E,DP04_0055E,DP04_0056E,DP04_0057E,DP04_0058E,DP04_0059E,DP04_0060E,DP04_0061E,DP04_0062E,DP04_0063E,DP04_0064E,DP04_0065E,DP04_0066E,DP04_0067E,DP04_0068E,DP04_0069E,DP04_0070E,DP04_0071E,DP04_0072E,DP04_0073E,DP04_0074E,DP04_0076E,DP04_0077E,DP04_0078E,DP04_0079E,DP04_0080E,DP04_0081E,DP04_0082E,DP04_0083E,DP04_0084E,DP04_0085E,DP04_0086E,DP04_0087E,DP04_0088E,DP04_0090E,DP04_0091E,DP04_0092E,DP04_0093E,DP04_0094E,DP04_0095E,DP04_0096E,DP04_0097E,DP04_0098E,DP04_0099E,DP04_0100E,DP04_0102E,DP04_0103E,DP04_0104E,DP04_0105E,DP04_0106E,DP04_0107E,DP04_0108E,DP04_0110E,DP04_0111E,DP04_0112E,DP04_0113E,DP04_0114E,DP04_0115E,DP04_0116E,DP04_0117E,DP04_0118E,DP04_0119E,DP04_0120E,DP04_0121E,DP04_0122E,DP04_0123E,DP04_0124E,DP04_0125E,DP04_0126E,DP04_0127E,DP04_0128E,DP04_0129E,DP04_0130E,DP04_0131E,DP04_0132E,DP04_0133E,DP04_0135E,DP04_0136E,DP04_0137E,DP04_0138E,DP04_0139E,DP04_0140E,DP04_0141E,DP04_0142E,DP04_0143E,DP04_0001PE,DP04_0002PE,DP04_0003PE,DP04_0006PE,DP04_0007PE,DP04_0008PE,DP04_0009PE,DP04_0010PE,DP04_0011PE,DP04_0012PE,DP04_0013PE,DP04_0014PE,DP04_0015PE,DP04_0016PE,DP04_0017PE,DP04_0018PE,DP04_0019PE,DP04_0020PE,DP04_0021PE,DP04_0022PE,DP04_0023PE,DP04_0024PE,DP04_0025PE,DP04_0026PE,DP04_0027PE,DP04_0028PE,DP04_0029PE,DP04_0030PE,DP04_0031PE,DP04_0032PE,DP04_0033PE,DP04_0034PE,DP04_0035PE,DP04_0036PE,DP04_0038PE,DP04_0039PE,DP04_0040PE,DP04_0041PE,DP04_0042PE,DP04_0043PE,DP04_0044PE,DP04_0045PE,DP04_0046PE,DP04_0047PE,DP04_0050PE,DP04_0051PE,DP04_0052PE,DP04_0053PE,DP04_0054PE,DP04_0055PE,DP04_0056PE,DP04_0057PE,DP04_0058PE,DP04_0059PE,DP04_0060PE,DP04_0061PE,DP04_0062PE,DP04_0063PE,DP04_0064PE,DP04_0065PE,DP04_0066PE,DP04_0067PE,DP04_0068PE,DP04_0069PE,DP04_0070PE,DP04_0071PE,DP04_0072PE,DP04_0073PE,DP04_0074PE,DP04_0076PE,DP04_0077PE,DP04_0078PE,DP04_0079PE,DP04_0080PE,DP04_0090PE,DP04_0093PE,DP04_0102PE,DP04_0110PE,DP04_0117PE,DP04_0126PE,DP04_0127PE,DP04_0128PE,DP04_0129PE,DP04_0130PE,DP04_0131PE,DP04_0132PE,DP04_0133PE,DP04_0136PE,DP04_0137PE,DP04_0138PE,DP04_0139PE,DP04_0140PE,DP04_0141PE,DP04_0142PE,party
01001,23697.0,21559.0,2138.0,2.8,23697.0,17190.0,215.0,82.0,394.0,515.0,505.0,413.0,4313.0,70.0,23697.0,932.0,1245.0,5109.0,5469.0,2708.0,3970.0,2646.0,832.0,319.0,467.0,23697.0,208.0,237.0,1014.0,2631.0,5020.0,5114.0,4112.0,2618.0,2743.0,23697.0,215.0,713.0,3824.0,11848.0,5861.0,1236.0,21559.0,16088.0,5471.0,2.48,21559.0,1081.0,5483.0,4126.0,5591.0,2972.0,2306.0,21559.0,1167.0,6632.0,7734.0,6026.0,21559.0,7563.0,1973.0,11773.0,8.0,0.0,131.0,0.0,0.0,111.0,21559.0,145.0,239.0,21559.0,21220.0,218.0,121.0,16088.0,1783.0,2917.0,2513.0,3159.0,3557.0,1788.0,367.0,4.0,16088.0,9592.0,6496.0,9592.0,205.0,2782.0,3955.0,1792.0,603.0,160.0,95.0,6496.0,1077.0,2571.0,2188.0,380.0,132.0,148.0,9592.0,5238.0,1277.0,558.0,523.0,1996.0,0.0,6393.0,3122.0,1086.0,678.0,371.0,293.0,173.0,670.0,103.0,4770.0,574.0,1764.0,1572.0,595.0,88.0,33.0,144.0,701.0,4705.0,627.0,385.0,924.0,915.0,202.0,1652.0,766.0,23697.0,91.0,9.0,23697.0,72.5,0.9,0.3,1.7,2.2,2.1,1.7,18.2,0.3,23697.0,3.9,5.3,21.6,23.1,11.4,16.8,11.2,3.5,1.3,2.0,23697.0,0.9,1.0,4.3,11.1,21.2,21.6,17.4,11.0,11.6,23697.0,0.9,3.0,16.1,50.0,24.7,5.2,21559.0,74.6,25.4,21559.0,5.0,25.4,19.1,25.9,13.8,10.7,21559.0,5.4,30.8,35.9,28.0,21559.0,35.1,9.2,54.6,0.0,0.0,0.6,0.0,0.0,0.5,21559.0,0.7,1.1,21559.0,98.4,1.0,0.6,16088.0,16088.0,9592.0,6496.0,9592.0,6393.0,4770.0,12.0,37.0,33.0,12.5,1.8,0.7,3.0,4705.0,13.3,8.2,19.6,19.4,4.3,35.1,0.274423027687356
01003,116747.0,84047.0,32700.0,45.6,116747.0,75314.0,1354.0,2045.0,2518.0,3816.0,3960.0,15553.0,11893.0,294.0,116747.0,7667.0,5171.0,31376.0,29096.0,19399.0,10477.0,6208.0,3044.0,1858.0,2451.0,116747.0,1569.0,1422.0,6591.0,16715.0,24965.0,24507.0,16048.0,11604.0,13326.0,116747.0,1585.0,7252.0,24039.0,58122.0,21573.0,4176.0,84047.0,64716.0,19331.0,2.34,84047.0,2907.0,26697.0,17182.0,20336.0,9696.0,7229.0,84047.0,2627.0,26347.0,35944.0,19129.0,84047.0,8068.0,1687.0,73262.0,36.0,0.0,499.0,30.0,12.0,453.0,84047.0,189.0,478.0,84047.0,82767.0,673.0,607.0,64716.0,3838.0,5209.0,8634.0,12599.0,14924.0,13238.0,4979.0,1295.0,64716.0,37858.0,26858.0,37858.0,627.0,8284.0,13506.0,7902.0,3838.0,1566.0,2135.0,26858.0,5472.0,8739.0,8116.0,2293.0,1087.0,1151.0,37757.0,19011.0,5167.0,3431.0,2354.0,7794.0,101.0,26635.0,14222.0,5195.0,2441.0,1237.0,710.0,525.0,2305.0,223.0,17016.0,1363.0,6585.0,6188.0,2187.0,484.0,56.0,153.0,2315.0,16790.0,1951.0,2513.0,2671.0,1941.0,1548.0,6166.0,2541.0,116747.0,72.0,28.0,116747.0,64.5,1.2,1.8,2.2,3.3,3.4,13.3,10.2,0.3,116747.0,6.6,4.4,26.9,24.9,16.6,9.0,5.3,2.6,1.6,2.1,116747.0,1.3,1.2,5.6,14.3,21.4,21.0,13.7,9.9,11.4,116747.0,1.4,6.2,20.6,49.8,18.5,3.6,84047.0,77.0,23.0,84047.0,3.5,31.8,20.4,24.2,11.5,8.6,84047.0,3.1,31.3,42.8,22.8,84047.0,9.6,2.0,87.2,0.0,0.0,0.6,0.0,0.0,0.5,84047.0,0.2,0.6,84047.0,98.5,0.8,0.7,64716.0,64716.0,37858.0,26858.0,37757.0,26635.0,17016.0,8.0,38.7,36.4,12.9,2.8,0.3,0.9,16790.0,11.6,15.0,15.9,11.6,9.2,36.7,0.22731728972826992
01005,12057.0,9322.0,2735.0,5.8,12057.0,6587.0,142.0,761.0,503.0,245.0,80.0,90.0,3644.0,5.0,12057.0,105.0,332.0,982.0,2737.0,1858.0,2063.0,1384.0,988.0,644.0,964.0,12057.0,82.0,163.0,1236.0,2258.0,2812.0,2276.0,1402.0,835.0,993.0,12057.0,82.0,762.0,3201.0,6336.0,1378.0,298.0,9322.0,5775.0,3547.0,2.33,9322.0,425.0,2122.0,1582.0,2205.0,1482.0,1506.0,9322.0,1039.0,3151.0,3084.0,2048.0,9322.0,558.0,955.0,7671.0,38.0,0.0,57.0,0.0,8.0,35.0,9322.0,16.0,48.0,9322.0,8972.0,300.0,50.0,5775.0,1684.0,1462.0,778.0,757.0,579.0,341.0,152.0,22.0,5775.0,2588.0,3187.0,2588.0,205.0,1148.0,755.0,342.0,93.0,29.0,16.0,3187.0,928.0,1136.0,796.0,215.0,39.0,73.0,2563.0,1512.0,292.0,200.0,166.0,393.0,25.0,3103.0,1454.0,463.0,379.0,266.0,163.0,101.0,277.0,84.0,3198.0,1115.0,1851.0,219.0,0.0,13.0,0.0,0.0,349.0,2852.0,431.0,394.0,360.0,278.0,191.0,1198.0,695.0,12057.0,77.3,22.7,12057.0,54.6,1.2,6.3,4.2,2.0,0.7,0.7,30.2,0.0,12057.0,0.9,2.8,8.1,22.7,15.4,17.1,11.5,8.2,5.3,8.0,12057.0,0.7,1.4,10.3,18.7,23.3,18.9,11.6,6.9,8.2,12057.0,0.7,6.3,26.5,52.6,11.4,2.5,9322.0,62.0,38.0,9322.0,4.6,22.8,17.0,23.7,15.9,16.2,9322.0,11.1,33.8,33.1,22.0,9322.0,6.0,10.2,82.3,0.4,0.0,0.6,0.0,0.1,0.4,9322.0,0.2,0.5,9322.0,96.2,3.2,0.5,5775.0,5775.0,2588.0,3187.0,2563.0,3103.0,3198.0,34.9,57.9,6.8,0.0,0.4,0.0,0.0,2852.0,15.1,13.8,12.6,9.7,6.7,42.0,0.461391071086415
01007,9237.0,7259.0,1978.0,2.6,9237.0,5584.0,44.0,137.0,25.0,240.0,75.0,153.0,2943.0,36.0,9237.0,319.0,168.0,1369.0,1880.0,1213.0,1394.0,1286.0,551.0,438.0,619.0,9237.0,64.0,85.0,360.0,1150.0,2607.0,2297.0,1166.0,750.0,758.0,9237.0,73.0,333.0,2287.0,4881.0,1406.0,257.0,7259.0,5428.0,1831.0,2.54,7259.0,285.0,1662.0,1214.0,1664.0,1207.0,1227.0,7259.0,481.0,2180.0,2394.0,2204.0,7259.0,1793.0,570.0,4587.0,0.0,0.0,282.0,0.0,0.0,27.0,7259.0,41.0,123.0,7259.0,7168.0,27.0,64.0,5428.0,1177.0,1616.0,985.0,714.0,622.0,292.0,0.0,22.0,5428.0,2071.0,3357.0,2071.0,22.0,836.0,704.0,405.0,104.0,0.0,0.0,3357.0,734.0,1503.0,951.0,119.0,18.0,32.0,2071.0,1396.0,227.0,89.0,118.0,241.0,0.0,3341.0,1964.0,350.0,255.0,259.0,87.0,190.0,236.0,16.0,1550.0,454.0,1005.0,61.0,30.0,0.0,0.0,0.0,281.0,1508.0,382.0,89.0,100.0,142.0,90.0,705.0,323.0,9237.0,78.6,21.4,9237.0,60.5,0.5,1.5,0.3,2.6,0.8,1.7,31.9,0.4,9237.0,3.5,1.8,14.8,20.4,13.1,15.1,13.9,6.0,4.7,6.7,9237.0,0.7,0.9,3.9,12.4,28.2,24.9,12.6,8.1,8.2,9237.0,0.8,3.6,24.8,52.8,15.2,2.8,7259.0,74.8,25.2,7259.0,3.9,22.9,16.7,22.9,16.6,16.9,7259.0,6.6,30.0,33.0,30.4,7259.0,24.7,7.9,63.2,0.0,0.0,3.9,0.0,0.0,0.4,7259.0,0.6,1.7,7259.0,98.7,0.4,0.9,5428.0,5428.0,2071.0,3357.0,2071.0,3341.0,1550.0,29.3,64.8,3.9,1.9,0.0,0.0,0.0,1508.0,25.3,5.9,6.6,9.4,6.0,46.8,0.208810850594049
01009,24404.0,21205.0,3199.0,7.2,24404.0,16887.0,116.0,449.0,458.0,256.0,72.0,95.0,6043.0,28.0,24404.0,614.0,681.0,4801.0,5199.0,3472.0,4021.0,2156.0,1399.0,803.0,1258.0,24404.0,170.0,260.0,865.0,3684.0,5949.0,5358.0,3097.0,2287.0,2734.0,24404.0,172.0,763.0,6174.0,13094.0,3203.0,998.0,21205.0,16132.0,5073.0,2.29,21205.0,536.0,4492.0,3858.0,6576.0,3196.0,2547.0,21205.0,1077.0,5400.0,6921.0,7807.0,21205.0,2453.0,2325.0,15997.0,25.0,0.0,305.0,19.0,4.0,77.0,21205.0,115.0,220.0,21205.0,20820.0,337.0,48.0,16132.0,2365.0,3269.0,3451.0,2600.0,2795.0,1272.0,286.0,94.0,16132.0,8096.0,8036.0,8096.0,330.0,2732.0,2934.0,1456.0,359.0,167.0,118.0,8036.0,1923.0,2993.0,2395.0,594.0,61.0,70.0,8042.0,4310.0,1364.0,668.0,450.0,1250.0,54.0,7867.0,4030.0,1764.0,675.0,413.0,269.0,153.0,563.0,169.0,3852.0,651.0,2724.0,392.0,78.0,0.0,7.0,0.0,1221.0,3713.0,542.0,508.0,551.0,371.0,420.0,1321.0,1360.0,24404.0,86.9,13.1,24404.0,69.2,0.5,1.8,1.9,1.0,0.3,0.4,24.8,0.1,24404.0,2.5,2.8,19.7,21.3,14.2,16.5,8.8,5.7,3.3,5.2,24404.0,0.7,1.1,3.5,15.1,24.4,22.0,12.7,9.4,11.2,24404.0,0.7,3.1,25.3,53.7,13.1,4.1,21205.0,76.1,23.9,21205.0,2.5,21.2,18.2,31.0,15.1,12.0,21205.0,5.1,25.5,32.6,36.8,21205.0,11.6,11.0,75.4,0.1,0.0,1.4,0.1,0.0,0.4,21205.0,0.5,1.0,21205.0,98.2,1.6,0.2,16132.0,16132.0,8096.0,8036.0,8042.0,7867.0,3852.0,16.9,70.7,10.2,2.0,0.0,0.2,0.0,3713.0,14.6,13.7,14.8,10.0,11.3,35.6,0.09652297905012613
01011,4591.0,3429.0,1162.0,7.0,4591.0,2178.0,22.0,177.0,36.0,175.0,45.0,28.0,1919.0,11.0,4591.0,110.0,182.0,535.0,1263.0,710.0,727.0,328.0,309.0,99.0,328.0,4591.0,45.0,61.0,586.0,532.0,847.0,888.0,627.0,540.0,465.0,4591.0,59.0,306.0,712.0,2433.0,1001.0,80.0,3429.0,2531.0,898.0,3.47,3429.0,26.0,838.0,443.0,959.0,755.0,408.0,3429.0,418.0,1183.0,911.0,917.0,3429.0,293.0,736.0,2331.0,0.0,0.0,69.0,0.0,0.0,0.0,3429.0,0.0,0.0,3429.0,3396.0,20.0,13.0,2531.0,744.0,951.0,325.0,135.0,121.0,96.0,117.0,42.0,2531.0,1026.0,1505.0,1026.0,8.0,503.0,400.0,75.0,22.0,0.0,18.0,1505.0,407.0,329.0,430.0,165.0,152.0,22.0,895.0,526.0,169.0,84.0,0.0,116.0,131.0,1491.0,636.0,202.0,203.0,186.0,75.0,0.0,189.0,14.0,757.0,350.0,369.0,0.0,38.0,0.0,0.0,0.0,141.0,647.0,14.0,58.0,149.0,36.0,62.0,328.0,251.0,4591.0,74.7,25.3,4591.0,47.4,0.5,3.9,0.8,3.8,1.0,0.6,41.8,0.2,4591.0,2.4,4.0,11.7,27.5,15.5,15.8,7.1,6.7,2.2,7.1,4591.0,1.0,1.3,12.8,11.6,18.4,19.3,13.7,11.8,10.1,4591.0,1.3,6.7,15.5,53.0,21.8,1.7,3429.0,73.8,26.2,3429.0,0.8,24.4,12.9,28.0,22.0,11.9,3429.0,12.2,34.5,26.6,26.7,3429.0,8.5,21.5,68.0,0.0,0.0,2.0,0.0,0.0,0.0,3429.0,0.0,0.0,3429.0,99.0,0.6,0.4,2531.0,2531.0,1026.0,1505.0,895.0,1491.0,757.0,46.2,48.7,0.0,5.0,0.0,0.0,0.0,647.0,2.2,9.0,23.0,5.6,9.6,50.7,0.7504355400696864
01013,10119.0,6649.0,3470.0,24.8,10119.0,6648.0,64.0,219.0,408.0,317.0,50.0,64.0,2349.0,0.0,10119.0,92.0,99.0,601.0,2212.0,1756.0,2055.0,1327.0,838.0,353.0,786.0,10119.0,108.0,32.0,187.0,1232.0,3635.0,2263.0,1246.0,657.0,759.0,10119.0,111.0,299.0,2191.0,6176.0,1204.0,138.0,6649.0,4872.0,1777.0,3.05,6649.0,176.0,1195.0,1066.0,1656.0,1113.0,1443.0,6649.0,359.0,2080.0,2208.0,2002.0,6649.0,848.0,1231.0,4464.0,0.0,0.0,76.0,0.0,0.0,30.0,6649.0,9.0,62.0,6649.0,6577.0,38.0,34.0,4872.0,1090.0,1385.0,908.0,733.0,506.0,172.0,78.0,0.0,4872.0,1695.0,3177.0,1695.0,72.0,821.0,547.0,173.0,60.0,22.0,0.0,3177.0,489.0,1183.0,961.0,479.0,40.0,25.0,1691.0,770.0,256.0,153.0,92.0,420.0,4.0,3150.0,1593.0,621.0,405.0,122.0,163.0,72.0,174.0,27.0,1392.0,368.0,937.0,87.0,0.0,0.0,0.0,0.0,385.0,1326.0,327.0,165.0,96.0,94.0,131.0,513.0,451.0,10119.0,65.7,34.3,10119.0,65.7,0.6,2.2,4.0,3.1,0.5,0.6,23.2,0.0,10119.0,0.9,1.0,5.9,21.9,17.4,20.3,13.1,8.3,3.5,7.8,10119.0,1.1,0.3,1.8,12.2,35.9,22.4,12.3,6.5,7.5,10119.0,1.1,3.0,21.7,61.0,11.9,1.4,6649.0,73.3,26.7,6649.0,2.6,18.0,16.0,24.9,16.7,21.7,6649.0,5.4,31.3,33.2,30.1,6649.0,12.8,18.5,67.1,0.0,0.0,1.1,0.0,0.0,0.5,6649.0,0.1,0.9,6649.0,98.9,0.6,0.5,4872.0,4872.0,1695.0,3177.0,1691.0,3150.0,1392.0,26.4,67.3,6.3,0.0,0.0,0.0,0.0,1326.0,24.7,12.4,7.2,7.1,9.9,38.7,0.420778945134246
01015,53722.0,44572.0,9150.0,6.1,53722.0,38218.0,807.0,1148.0,1289.0,1893.0,1013.0,964.0,8364.0,26.0,53722.0,1213.0,1246.0,6275.0,7562.0,8405.0,10125.0,6387.0,5526.0,3904.0,3079.0,53722.0,524.0,526.0,2933.0,7460.0,11943.0,11389.0,8453.0,4722.0,5772.0,53722.0,575.0,3181.0,13633.0,27009.0,7658.0,1666.0,44572.0,31370.0,13202.0,2.5,44572.0,1673.0,11068.0,8729.0,9483.0,6608.0,7011.0,44572.0,2270.0,13840.0,16655.0,11807.0,44572.0,13341.0,2567.0,27815.0,35.0,0.0,565.0,0.0,19.0,230.0,44572.0,103.0,299.0,44572.0,44025.0,403.0,144.0,31370.0,5052.0,7278.0,7120.0,4745.0,4589.0,1735.0,730.0,121.0,31370.0,16904.0,14466.0,16904.0,482.0,7319.0,5947.0,2009.0,611.0,332.0,204.0,14466.0,3448.0,6261.0,3689.0,651.0,285.0,132.0,16809.0,9224.0,2531.0,1480.0,912.0,2662.0,95.0,14236.0,7251.0,2412.0,1807.0,980.0,400.0,229.0,1157.0,230.0,11756.0,2196.0,7428.0,1861.0,239.0,32.0,0.0,0.0,1446.0,11503.0,2388.0,1615.0,1493.0,1283.0,736.0,3988.0,1699.0,53722.0,83.0,17.0,53722.0,71.1,1.5,2.1,2.4,3.5,1.9,1.8,15.6,0.0,53722.0,2.3,2.3,11.7,14.1,15.6,18.8,11.9,10.3,7.3,5.7,53722.0,1.0,1.0,5.5,13.9,22.2,21.2,15.7,8.8,10.7,53722.0,1.1,5.9,25.4,50.3,14.3,3.1,44572.0,70.4,29.6,44572.0,3.8,24.8,19.6,21.3,14.8,15.7,44572.0,5.1,31.1,37.4,26.5,44572.0,29.9,5.8,62.4,0.1,0.0,1.3,0.0,0.0,0.5,44572.0,0.2,0.7,44572.0,98.8,0.9,0.3,31370.0,31370.0,16904.0,14466.0,16809.0,14236.0,11756.0,18.7,63.2,15.8,2.0,0.3,0.0,0.0,11503.0,20.8,14.0,13.0,11.2,6.4,34.7,0.30240276646063957
01017,16985.0,13582.0,3403.0,7.9,16985.0,11676.0,87.0,638.0,445.0,414.0,456.0,976.0,2281.0,12.0,16985.0,375.0,505.0,2315.0,2309.0,2168.0,3354.0,1823.0,1352.0,877.0,1907.0,16985.0,1471.0,134.0,655.0,2303.0,4163.0,3245.0,2770.0,1106.0,1138.0,16985.0,1484.0,589.0,4887.0,7380.0,2061.0,584.0,13582.0,9133.0,4449.0,2.36,13582.0,450.0,3334.0,2693.0,2558.0,1694.0,2853.0,13582.0,1000.0,4082.0,4697.0,3803.0,13582.0,2128.0,1429.0,9711.0,13.0,0.0,256.0,0.0,2.0,43.0,13582.0,67.0,94.0,13582.0,12608.0,232.0,742.0,9133.0,1570.0,2838.0,1639.0,1365.0,969.0,581.0,150.0,21.0,9133.0,4274.0,4859.0,4274.0,84.0,2157.0,1447.0,492.0,26.0,61.0,7.0,4859.0,1187.0,1642.0,1706.0,256.0,54.0,14.0,4274.0,2084.0,555.0,415.0,176.0,1044.0,0.0,4794.0,2143.0,1040.0,645.0,364.0,197.0,54.0,351.0,65.0,3953.0,912.0,2520.0,442.0,71.0,8.0,0.0,0.0,496.0,3871.0,871.0,816.0,529.0,341.0,212.0,1102.0,578.0,16985.0,80.0,20.0,16985.0,68.7,0.5,3.8,2.6,2.4,2.7,5.7,13.4,0.1,16985.0,2.2,3.0,13.6,13.6,12.8,19.7,10.7,8.0,5.2,11.2,16985.0,8.7,0.8,3.9,13.6,24.5,19.1,16.3,6.5,6.7,16985.0,8.7,3.5,28.8,43.5,12.1,3.4,13582.0,67.2,32.8,13582.0,3.3,24.5,19.8,18.8,12.5,21.0,13582.0,7.4,30.1,34.6,28.0,13582.0,15.7,10.5,71.5,0.1,0.0,1.9,0.0,0.0,0.3,13582.0,0.5,0.7,13582.0,92.8,1.7,5.5,9133.0,9133.0,4274.0,4859.0,4274.0,4794.0,3953.0,23.1,63.7,11.2,1.8,0.2,0.0,0.0,3871.0,22.5,21.1,13.7,8.8,5.5,28.5,0.4210212991136394
01019,16631.0,10836.0,5795.0,11.3,16631.0,11488.0,28.0,271.0,167.0,173.0,86.0,164.0,4208.0,46.0,16631.0,326.0,563.0,3450.0,3727.0,2633.0,2255.0,1727.0,1099.0,344.0,507.0,16631.0,153.0,220.0,582.0,2367.0,4111.0,3912.0,1994.0,1624.0,1668.0,16631.0,153.0,978.0,4262.0,8482.0,2043.0,713.0,10836.0,8477.0,2359.0,2.06,10836.0,363.0,1976.0,1417.0,3253.0,1801.0,2026.0,10836.0,343.0,2720.0,4339.0,3434.0,10836.0,1562.0,2629.0,6225.0,10.0,0.0,338.0,0.0,57.0,15.0,10836.0,26.0,43.0,10836.0,10685.0,117.0,34.0,8477.0,1341.0,1802.0,1423.0,1529.0,1062.0,980.0,190.0,150.0,8477.0,3229.0,5248.0,3229.0,67.0,1162.0,1050.0,568.0,238.0,77.0,67.0,5248.0,1075.0,2045.0,1617.0,377.0,96.0,38.0,3202.0,1698.0,362.0,317.0,131.0,694.0,27.0,5218.0,2202.0,1026.0,913.0,340.0,167.0,189.0,381.0,30.0,1650.0,423.0,1060.0,86.0,81.0,0.0,0.0,0.0,709.0,1562.0,406.0,232.0,118.0,187.0,84.0,535.0,797.0,16631.0,65.2,34.8,16631.0,69.1,0.2,1.6,1.0,1.0,0.5,1.0,25.3,0.3,16631.0,2.0,3.4,20.7,22.4,15.8,13.6,10.4,6.6,2.1,3.0,16631.0,0.9,1.3,3.5,14.2,24.7,23.5,12.0,9.8,10.0,16631.0,0.9,5.9,25.6,51.0,12.3,4.3,10836.0,78.2,21.8,10836.0,3.3,18.2,13.1,30.0,16.6,18.7,10836.0,3.2,25.1,40.0,31.7,10836.0,14.4,24.3,57.4,0.1,0.0,3.1,0.0,0.5,0.1,10836.0,0.2,0.4,10836.0,98.6,1.1,0.3,8477.0,8477.0,3229.0,5248.0,3202.0,5218.0,1650.0,25.6,64.2,5.2,4.9,0.0,0.0,0.0,1562.0,26.0,14.9,7.6,12.0,5.4,34.3,0.1330384205783567
