"STATE","COUNTY","TRUMP","CLINTON","REPORTING"
"Alabama","Autauga",18110,5908,100
"Alabama","Baldwin",72780,18409,100
"Alabama","Barbour",5431,4848,100
"Alabama","Bibb",6733,1874,100
"Alabama","Blount",22808,2150,100
"Alabama","Bullock",1139,3530,100
"Alabama","Butler",4891,3716,100
"Alabama","Calhoun",32803,13197,100
"Alabama","Chambers",7803,5763,100
"Alabama","Cherokee",8809,1524,100
"Alabama","Chilton",15068,2909,100
"Alabama","Choctaw",4102,3109,100
"Alabama","Clarke",7109,5712,100
"Alabama","Clay",5230,1234,100
"Alabama","Cleburne",5738,684,100
"Alabama","Coffee",15825,4194,100
"Alabama","Colbert",16718,7296,100
"Alabama","Conecuh",3413,3069,100
"Alabama","Coosa",3376,1780,100
"Alabama","Covington",13222,2379,100
"Alabama","Crenshaw",4511,1663,100
"Alabama","Cullman",32734,3730,100
"Alabama","Dale",13798,4408,100
"Alabama","Dallas",5784,12826,100
"Alabama","DeKalb",21779,3682,100
"Alabama","Elmore",27619,8436,100
"Alabama","Escambia",10282,4698,100
"Alabama","Etowah",32132,10350,100
"Alabama","Fayette",6705,1358,100
"Alabama","Franklin",9466,2197,100
"Alabama","Geneva",9967,1522,100
"Alabama","Greene",838,4006,100
"Alabama","Hale",3172,4772,100
"Alabama","Henry",5623,2286,100
"Alabama","Houston",30567,10547,100
"Alabama","Jackson",16643,3663,100
"Alabama","Jefferson",130614,151581,100
"Alabama","Lamar",5819,1035,100
"Alabama","Lauderdale",27735,9877,100
"Alabama","Lawrence",10732,3611,100
"Alabama","Lee",34321,20987,100
"Alabama","Limestone",28824,9340,100
"Alabama","Lowndes",1751,4882,100
"Alabama","Macon",1394,7237,100
"Alabama","Madison",89199,62435,100
"Alabama","Marengo",5224,5607,100
"Alabama","Marion",11273,1432,100
"Alabama","Marshall",29217,4913,100
"Alabama","Mobile",91087,68429,100
"Alabama","Monroe",5771,4310,100
"Alabama","Montgomery",33928,58669,100
"Alabama","Morgan",37392,11216,100
"Alabama","Perry",1403,3823,100
"Alabama","Pickens",5454,3972,100
"Alabama","Pike",7681,5039,100
"Alabama","Randolph",7697,2290,100
"Alabama","Russell",9210,9577,100
"Alabama","Shelby",72846,22927,100
"Alabama","St. Clair",31579,5550,100
"Alabama","Sumter",1581,4739,100
"Alabama","Talladega",20596,12108,100
"Alabama","Tallapoosa",12967,5271,100
"Alabama","Tuscaloosa",47701,31746,100
"Alabama","Walker",24208,4486,100
"Alabama","Washington",6031,2366,100
"Alabama","Wilcox",1737,4329,100
"Alabama","Winston",9225,871,100
"Alaska","Alaska",130415,93007,100
"Arizona","Apache",5315,12196,100
"Arizona","Cochise",25036,15291,100
"Arizona","Coconino",16573,25308,100
"Arizona","Gila",12342,6295,100
"Arizona","Graham",7899,3274,100
"Arizona","Greenlee",1892,1092,100
"Arizona","La Paz",3381,1318,100
"Arizona","Maricopa",566019,524360,100
"Arizona","Mohave",51312,15536,100
"Arizona","Navajo",18165,15362,100
"Arizona","Pima",138819,183199,100
"Arizona","Pinal",44432,29546,100
"Arizona","Santa Cruz",2556,7769,100
"Arizona","Yavapai",58573,29492,100
"Arizona","Yuma",20586,18336,100
"Arkansas","Arkansas",3825,1939,100
"Arkansas","Ashley",5338,2408,100
"Arkansas","Baxter",14655,4163,100
"Arkansas","Benton",60751,27894,100
"Arkansas","Boone",12225,2925,100
"Arkansas","Bradley",2163,1317,100
"Arkansas","Calhoun",1554,636,100
"Arkansas","Carroll",6773,3334,100
"Arkansas","Chicot",1716,2350,100
"Arkansas","Clark",4398,3606,100
"Arkansas","Clay",3779,1999,100
"Arkansas","Cleburne",9454,2101,100
"Arkansas","Cleveland",2460,723,100
"Arkansas","Columbia",5456,3140,100
"Arkansas","Conway",4844,2655,100
"Arkansas","Craighead",22798,10474,100
"Arkansas","Crawford",16655,4476,100
"Arkansas","Crittenden",6953,8368,100
"Arkansas","Cross",4577,1995,100
"Arkansas","Dallas",1507,1165,100
"Arkansas","Desha",1915,2227,100
"Arkansas","Drew",3967,2364,100
"Arkansas","Faulkner",29170,14525,100
"Arkansas","Franklin",5034,1376,100
"Arkansas","Fulton",3470,1067,100
"Arkansas","Garland",26053,12283,100
"Arkansas","Grant",5160,1407,100
"Arkansas","Greene",10698,3056,100
"Arkansas","Hempstead",4391,2371,100
"Arkansas","Hot Spring",8153,3137,100
"Arkansas","Howard",3155,1350,100
"Arkansas","Independence",9925,2878,100
"Arkansas","Izard",4042,1111,100
"Arkansas","Jackson",3262,1583,100
"Arkansas","Jefferson",9231,15721,100
"Arkansas","Johnson",6072,2421,100
"Arkansas","Lafayette",1750,1028,100
"Arkansas","Lawrence",4064,1263,100
"Arkansas","Lee",1229,1735,100
"Arkansas","Lincoln",2455,1252,100
"Arkansas","Little River",3604,1397,100
"Arkansas","Logan",5737,1712,100
"Arkansas","Lonoke",19902,5638,100
"Arkansas","Madison",4917,1587,100
"Arkansas","Marion",5077,1377,100
"Arkansas","Miller",11293,4273,100
"Arkansas","Mississippi",6988,5621,100
"Arkansas","Monroe",1400,1298,100
"Arkansas","Montgomery",2573,735,100
"Arkansas","Nevada",2001,1156,100
"Arkansas","Newton",2875,699,100
"Arkansas","Ouachita",5347,4320,100
"Arkansas","Perry",2979,1035,100
"Arkansas","Phillips",2443,4292,100
"Arkansas","Pike",3150,684,100
"Arkansas","Poinsett",3149,1878,100
"Arkansas","Polk",6606,1210,100
"Arkansas","Pope",15694,4818,100
"Arkansas","Prairie",2503,812,100
"Arkansas","Pulaski",61182,89377,100
"Arkansas","Randolph",4508,1425,100
"Arkansas","Saline",35852,13247,100
"Arkansas","Scott",2378,507,100
"Arkansas","Searcy",2955,601,100
"Arkansas","Sebastian",28769,12184,100
"Arkansas","Sevier",3281,1075,100
"Arkansas","Sharp",5405,1472,100
"Arkansas","St. Francis",3195,4031,100
"Arkansas","Stone",4081,1189,100
"Arkansas","Union",10201,5667,100
"Arkansas","Van Buren",5382,1547,100
"Arkansas","Washington",40418,32296,100
"Arkansas","White",21038,5157,100
"Arkansas","Woodruff",1344,1117,100
"Arkansas","Yell",4600,1472,100
"California","Alameda",59384,300185,100
"California","Alpine",211,318,100
"California","Amador",6069,3420,100
"California","Butte",35354,31638,100
"California","Calaveras",10126,6225,100
"California","Colusa",2709,1832,100
"California","Contra Costa",76743,201936,100
"California","Del Norte",4370,2997,100
"California","El Dorado",37286,28026,100
"California","Fresno",79858,82863,100
"California","Glenn",3405,1766,100
"California","Humboldt",10883,19596,100
"California","Imperial",5607,14331,100
"California","Inyo",3328,2499,100
"California","Kern",95064,64980,100
"California","Kings",13158,9077,100
"California","Lake",5752,6240,100
"California","Lassen",6155,1881,100
"California","Los Angeles",525308,1601382,100
"California","Madera",19221,13283,100
"California","Marin",13127,64333,100
"California","Mariposa",4317,2568,100
"California","Mendocino",3571,6905,100
"California","Merced",18486,21856,100
"California","Modoc",2413,798,100
"California","Mono",1989,2551,100
"California","Monterey",19580,47387,100
"California","Napa",9335,20454,100
"California","Nevada",14686,16199,100
"California","Orange",357174,396712,100
"California","Placer",55212,43915,100
"California","Plumas",5079,3224,100
"California","Riverside",219359,228731,100
"California","Sacramento",114359,186237,100
"California","San Benito",4358,6751,100
"California","San Bernardino",188080,220853,100
"California","San Diego",269422,390531,100
"California","San Francisco",26461,228211,100
"California","San Joaquin",56194,71349,100
"California","San Luis Obispo",39263,46965,100
"California","San Mateo",37996,152134,100
"California","Santa Barbara",38973,72605,100
"California","Santa Clara",91990,312994,100
"California","Santa Cruz",14523,60529,100
"California","Shasta",35256,15533,100
"California","Sierra",1044,596,100
"California","Siskiyou",8392,5252,100
"California","Solano",41481,79015,100
"California","Sonoma",37421,116027,100
"California","Stanislaus",52567,51171,100
"California","Sutter",10947,7599,100
"California","Tehama",10528,4764,100
"California","Trinity",2409,1876,100
"California","Tulare",33372,23663,100
"California","Tuolumne",10614,7075,100
"California","Ventura",97516,136848,100
"California","Yolo",13178,34460,100
"California","Yuba",8869,5115,100
"Colorado","Adams",55993,64628,100
"Colorado","Alamosa",3031,3168,100
"Colorado","Arapahoe",97841,132014,100
"Colorado","Archuleta",4234,2489,100
"Colorado","Baca",1716,278,100
"Colorado","Bent",1166,581,100
"Colorado","Boulder",34867,114294,100
"Colorado","Chaffee",5283,4773,100
"Colorado","Cheyenne",905,127,100
"Colorado","Clear Creek",2426,2585,100
"Colorado","Conejos",1885,1753,100
"Colorado","Costilla",581,1109,100
"Colorado","Crowley",1069,336,100
"Colorado","Custer",2059,797,100
"Colorado","Delta",11584,4048,100
"Colorado","Denver",38366,154599,100
"Colorado","Dolores",936,227,100
"Colorado","Douglas",100178,67045,100
"Colorado","Eagle",8153,12652,100
"Colorado","El Paso",176506,105807,100
"Colorado","Elbert",11536,3056,100
"Colorado","Fremont",15066,5275,100
"Colorado","Garfield",11551,10068,100
"Colorado","Gilpin",1564,1634,100
"Colorado","Grand",4467,3319,100
"Colorado","Gunnison",3123,4882,100
"Colorado","Hinsdale",339,197,100
"Colorado","Huerfano",1875,1631,100
"Colorado","Jackson",628,171,100
"Colorado","Jefferson",130233,151885,100
